sampleid,cluster_id,n_cells,celltype1,frac1,celltype2,frac2,celltype3,frac3,method,rank,source,target,score
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,celloracle,6,JUN,IL7R,0.07842256
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,celloracle,7,NFKB1,CD74,0.06954508
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,celloracle,8,JUN,IFNG,0.06931384
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,celloracle,9,EGR1,LTB,0.06916105
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,celloracle,10,NFKB1,TNFAIP3,0.065918446
imm_atlas_TT_p01,3,1155,"CD8-positive, alpha-beta memory T cell",0.6311688311688312,CD4-positive helper T cell,0.3108225108225108,gamma-delta T cell,0.0528138528138528,astar_path,1,JUND,CCL5,1.0
imm_atlas_TT_p01,3,1155,"CD8-positive, alpha-beta memory T cell",0.6311688311688312,CD4-positive helper T cell,0.3108225108225108,gamma-delta T cell,0.0528138528138528,astar_path,2,JUN,CCL5,0.953021637127721
imm_atlas_TT_p01,3,1155,"CD8-positive, alpha-beta memory T cell",0.6311688311688312,CD4-positive helper T cell,0.3108225108225108,gamma-delta T cell,0.0528138528138528,astar_path,3,FOS,CCL5,0.915727589945872
imm_atlas_TT_p01,3,1155,"CD8-positive, alpha-beta memory T cell",0.6311688311688312,CD4-positive helper T cell,0.3108225108225108,gamma-delta T cell,0.0528138528138528,astar_path,4,JUN,FOS,0.9103992136177208
imm_atlas_TT_p01,3,1155,"CD8-positive, alpha-beta memory T cell",0.6311688311688312,CD4-positive helper T cell,0.3108225108225108,gamma-delta T cell,0.0528138528138528,astar_path,5,JUN,KLF6,0.91037849454624
imm_atlas_TT_p01,3,1155,"CD8-positive, alpha-beta memory T cell",0.6311688311688312,CD4-positive helper T cell,0.3108225108225108,gamma-delta T cell,0.0528138528138528,astar_path,6,JUN,VIM,0.8854773329236816
imm_atlas_TT_p01,3,1155,"CD8-positive, alpha-beta memory T cell",0.6311688311688312,CD4-positive helper T cell,0.3108225108225108,gamma-delta T cell,0.0528138528138528,astar_path,7,JUN,CCL4,0.8852672822731833
imm_atlas_TT_p01,3,1155,"CD8-positive, alpha-beta memory T cell",0.6311688311688312,CD4-positive helper T cell,0.3108225108225108,gamma-delta T cell,0.0528138528138528,astar_path,8,FOS,HSPH1,0.8788213855695393
imm_atlas_TT_p01,3,1155,"CD8-positive, alpha-beta memory T cell",0.6311688311688312,CD4-positive helper T cell,0.3108225108225108,gamma-delta T cell,0.0528138528138528,astar_path,9,JUNB,UBC,0.8762639748879265
