sampleid,cluster_id,method,source,target,rank,score,cluster_rank_for_edge,is_top_cluster_for_edge,fold_vs_max_other_cluster,present_clusters,total_clusters
imm_atlas_TT_p01,0,astar_path,JUN,TNFRSF10A,169,0.7165985877605501,2,False,0.975371285183427,7,7
imm_atlas_TT_p01,0,astar_path,NFKB1,CD69,170,0.7164595296022829,1,True,1.0051574076589749,7,7
imm_atlas_TT_p01,0,astar_path,JUN,PPARD,171,0.7164391414162506,2,False,0.9797808716065293,7,7
imm_atlas_TT_p01,0,astar_path,SP1,VIM,172,0.716222952806266,1,True,1.0517852003710617,7,7
imm_atlas_TT_p01,0,astar_path,JUN,IL24,173,0.7158846706273166,1,True,1.0207370435906735,3,7
imm_atlas_TT_p01,0,astar_path,FOS,NF1,174,0.7154185374547671,1,True,1.0850875240787536,7,7
imm_atlas_TT_p01,0,astar_path,JUN,CCL4,175,0.7148049563588516,6,False,0.7942276912735785,7,7
imm_atlas_TT_p01,0,astar_path,JUN,TNF,176,0.7143995199880256,4,False,0.9621658635229446,7,7
imm_atlas_TT_p01,0,astar_path,FOS,MRTFA,177,0.7143925770691514,1,True,1.0408521136095301,7,7
imm_atlas_TT_p01,0,astar_path,JUN,ETS2,178,0.713796887313325,3,False,0.9703285194400633,7,7
imm_atlas_TT_p01,0,astar_path,JUN,CTSL,179,0.7126978836969162,3,False,0.9698749841274416,7,7
imm_atlas_TT_p01,0,astar_path,JUN,PLAT,180,0.7122470092296831,3,False,0.9785841804138795,7,7
imm_atlas_TT_p01,0,astar_path,JUN,BATF3,181,0.7121546399979016,3,False,0.9787631816864872,7,7
imm_atlas_TT_p01,0,astar_path,STAT1,HLA-E,182,0.7117042815867992,5,False,0.924324897485902,7,7
imm_atlas_TT_p01,0,astar_path,JUN,PLAUR,183,0.7111108279062434,3,False,0.974571309065372,7,7
imm_atlas_TT_p01,0,astar_path,RELA,TNFAIP3,184,0.7107808423373365,1,True,1.0207206008507181,7,7
imm_atlas_TT_p01,0,astar_path,JUN,IL1B,185,0.7107743585415414,2,False,0.9970743668504614,5,7
imm_atlas_TT_p01,0,astar_path,JUN,GCLC,186,0.7105364518975469,4,False,0.970684346136352,7,7
imm_atlas_TT_p01,0,astar_path,JUN,MYB,187,0.7104794684723912,3,False,0.97053762187058,6,7
imm_atlas_TT_p01,0,astar_path,ESR2,JUN,188,0.7103538168237822,3,False,0.9757574976851479,4,7
imm_atlas_TT_p01,0,astar_path,JUN,TIMP2,189,0.7103175940122398,3,False,0.9728898431996112,7,7
imm_atlas_TT_p01,0,astar_path,JUN,ITGAX,190,0.7100788042215237,3,False,0.9745031258504152,7,7
imm_atlas_TT_p01,0,astar_path,JUN,NQO1,191,0.7096743193910441,3,False,0.9717023465895909,7,7
imm_atlas_TT_p01,0,astar_path,JUN,BRCA1,192,0.7093829222839256,3,False,0.9738527975392579,7,7
imm_atlas_TT_p01,0,astar_path,JUN,ICAM1,193,0.7092436118071902,3,False,0.9668824831803745,7,7
imm_atlas_TT_p01,0,astar_path,JUN,CCL2,194,0.7090844218893465,3,False,0.9719628096079902,4,7
imm_atlas_TT_p01,0,astar_path,JUN,VEGFA,195,0.7090372093174869,3,False,0.9741535978331517,5,7
imm_atlas_TT_p01,0,astar_path,JUN,SPI1,196,0.7090368821111187,3,False,0.9743532664524036,7,7
imm_atlas_TT_p01,0,astar_path,JUN,FOSL1,197,0.7090291987369669,2,False,0.9723985387657313,6,7
imm_atlas_TT_p01,0,astar_path,JUN,MGP,198,0.7089318385333144,3,False,0.9730045251957513,5,7
imm_atlas_TT_p01,0,astar_path,JUN,VDR,199,0.7089193020279063,2,False,0.9912852967496245,6,7
imm_atlas_TT_p01,0,astar_path,JUN,CSTA,200,0.7088586355181026,2,False,0.9732550646821981,3,7
imm_atlas_TT_p01,1,astar_path,JUN,FOS,1,0.9552690863897828,2,False,0.9907839756344697,7,7
imm_atlas_TT_p01,1,astar_path,JUN,VIM,2,0.9211481592787292,2,False,0.9969648467152897,7,7
imm_atlas_TT_p01,1,astar_path,JUNB,UBC,3,0.9117543497799052,1,True,1.038991799320365,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPL13,4,0.896778843442576,2,False,0.9749159759198609,7,7
imm_atlas_TT_p01,1,astar_path,FOS,CD69,5,0.8955452857332471,2,False,0.961567177620199,7,7
imm_atlas_TT_p01,1,astar_path,NFKB1,B2M,6,0.8901843680068839,4,False,0.9563820388069363,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPL10,7,0.8886174772880866,2,False,0.9619522879073162,7,7
imm_atlas_TT_p01,1,astar_path,JUN,KLF6,8,0.8886013421708484,3,False,0.9760790127328063,7,7
imm_atlas_TT_p01,1,astar_path,TP53,EEF1A1,9,0.8791848930820584,3,False,0.9613307294611017,7,7
imm_atlas_TT_p01,1,astar_path,USF2,B2M,10,0.8732377816188134,4,False,0.9222672609958784,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPL32,11,0.8692131046394012,2,False,0.9752944799346673,7,7
imm_atlas_TT_p01,1,astar_path,FOS,CALM1,12,0.8613278730306573,2,False,0.9663451672260364,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPS15A,13,0.856321546604517,2,False,0.9654348387667855,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPL19,14,0.8560857050190404,2,False,0.9847664693185241,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPS19,15,0.8498619471146226,2,False,0.95592342713346,7,7
imm_atlas_TT_p01,1,astar_path,USF1,B2M,16,0.843710125652767,6,False,0.9220602199021357,7,7
