track,bin,axis_lo,axis_hi,axis_center,n_cells,mean,sd,sem,ci95_lo,ci95_hi
injected IRX4,5,0.37912947816559767,0.5439118012205346,0.4615206396930661,18940,0.0001919162120703428,0.002265946816773711,1.6464923800537095e-05,0.0001596449614212901,0.0002241874627193955
injected IRX4,6,0.5439118012205346,0.7215911398057817,0.6327514705131582,18940,0.0002970607570122077,0.0028095053664691483,2.041455317207216e-05,0.0002570482327949463,0.00033707328122946915
injected IRX4,7,0.7215911398057817,0.9172304299115103,0.819410784858646,18940,0.0005849863702235443,0.0038826655178494296,2.821239731715553e-05,0.0005296900714819195,0.0006402826689651691
injected IRX4,8,0.9172304299115103,1.1135011694235204,1.0153657996675154,18940,0.0011060902309644282,0.005174474946063087,3.759900058732282e-05,0.0010323961898132754,0.001179784272115581
injected IRX4,9,1.1135011694235204,1.2870143586010128,1.2002577640122665,18940,0.0018566228965128245,0.006509192113444024,4.7297381985119965e-05,0.0017639200278219895,0.0019493257652036596
injected IRX4,10,1.2870143586010128,1.4342258381533934,1.3606200983772032,18940,0.002585686803522,0.00723704441564509,5.258613483892662e-05,0.002482617979237704,0.0026887556278062962
injected IRX4,11,1.4342258381533934,1.5624624646339582,1.4983441513936757,18940,0.003060644970230669,0.0076568216355931565,5.5636338792736555e-05,0.0029515977461969057,0.0031696921942644327
injected IRX4,12,1.5624624646339582,1.6748803291155667,1.6186713968747624,18940,0.0034828951560620667,0.007835714151754658,5.693621557063872e-05,0.0033713001735436146,0.0035944901385805187
injected IRX4,13,1.6748803291155667,1.7802716489354253,1.727575989025496,18940,0.0037494237998416456,0.007944421823590972,5.772611210310329e-05,0.0036362806201195633,0.003862566979563728
injected IRX4,14,1.7802716489354253,1.8813205996096394,1.8307961242725324,18940,0.0037729327486358873,0.00776350270644124,5.6411509546732586e-05,0.0036623661899242914,0.0038834993073474833
injected IRX4,15,1.8813205996096394,1.980469355944431,1.9308949777770352,18940,0.004048919615054561,0.007917522640907643,5.753065606243225e-05,0.003936159529172194,0.004161679700936928
injected IRX4,16,1.980469355944431,2.0847479910829882,2.0326086735137094,18940,0.00412909485687493,0.0078223180124201,5.68388759456607e-05,0.004017690660021435,0.004240499053728425
injected IRX4,17,2.0847479910829882,2.199764103795543,2.1422560474392656,18940,0.004111092452840147,0.007709377037294689,5.601821919607029e-05,0.004001296743215849,0.004220888162464445
injected IRX4,18,2.199764103795543,2.3368635976407437,2.268313850718143,18940,0.004098376628511198,0.007525601537143799,5.468286146216803e-05,0.003991198220045349,0.004205555036977047
injected IRX4,19,2.3368635976407437,2.527805942978178,2.4323347703094607,18940,0.004106687014480912,0.007564611415281544,5.4966316778176155e-05,0.0039989530335956865,0.004214420995366137
injected IRX4,20,2.527805942978178,3.755393999447435,3.1415999712128064,18941,0.0035315665059564394,0.006840953695861591,4.9706730590437196e-05,0.0034341413139991825,0.0036289916979136963
gold NRG1,1,-1.8102460387258819,-0.21418251216153572,-1.012214275443709,18941,0.0015577879236613708,0.008506030035291042,6.180526314834645e-05,0.001436649607890612,0.0016789262394321298
gold NRG1,2,-0.21418251216153572,0.02681345303646912,-0.0936845295625333,18940,0.0014889879579893866,0.007882531061188126,5.727639868556999e-05,0.0013767262165656695,0.0016012496994131037
gold NRG1,3,0.02681345303646912,0.21145587690206843,0.11913466496926878,18940,0.0017865419627313818,0.008728701496983068,6.342488003760268e-05,0.0016622291978576806,0.001910854727605083
gold NRG1,4,0.21145587690206843,0.37912947816559767,0.29529267753383304,18940,0.0019557791432562727,0.009138857835857652,6.640517631635321e-05,0.0018256249976762204,0.002085933288836325
gold NRG1,5,0.37912947816559767,0.5439118012205346,0.4615206396930661,18940,0.0022603960312136207,0.00955086102887156,6.939889228900369e-05,0.0021243742023271733,0.002396417860100068
gold NRG1,6,0.5439118012205346,0.7215911398057817,0.6327514705131582,18940,0.002640952409540054,0.01012438825639688,7.356628140371507e-05,0.0024967624979887726,0.0027851423210913354
gold NRG1,7,0.7215911398057817,0.9172304299115103,0.819410784858646,18940,0.003153297397342492,0.010909859265662028,7.927370587605792e-05,0.0029979209338254183,0.0033086738608595657
gold NRG1,8,0.9172304299115103,1.1135011694235204,1.0153657996675154,18940,0.0033802368302868102,0.010966786964020835,7.968735645632717e-05,0.003224049611632409,0.0035364240489412116
gold NRG1,9,1.1135011694235204,1.2870143586010128,1.2002577640122665,18940,0.0028859581868745277,0.009992559040378072,7.260837807590234e-05,0.002743645765845759,0.0030282706079032963
gold NRG1,10,1.2870143586010128,1.4342258381533934,1.3606200983772032,18940,0.0023831086423448515,0.00893185638105692,6.490105311510919e-05,0.0022559025782392375,0.0025103147064504654
gold NRG1,11,1.4342258381533934,1.5624624646339582,1.4983441513936757,18940,0.001797183640539722,0.007798054541324437,5.6662571630056584e-05,0.001686125000144811,0.0019082422809346329
